Producto;UnidadFinal;Codigo;
ABONO QUIMICO 12-27-8-2.5 (MgO)-4.3 (S) PAPERA INICIO YARA 45 KILOS;Kg;FE0164;FE
ABONO YARAMILA COMPLEX 12-11-18-3(Mg)-8(S)-+EM YARA 45 KILOS;Kg;FE0156;FE
ABONO YARAMILA HYDRAN 19 - 4 - 19 -3 (MgO)- 0.1(B) - 1.8 (S) - 0.1;;;
"(Zn) YARA 45KG""";Kg;FE0153;FE
ABONO YARALIVA NITRABOR 15.4-0-0-26(CaO)-0.3(B) 45 Kg;Kg;FE0207;FE
THIMET 10% 15KL;Kg;IN0041;IN
YARA MILA COMPLEX  25 Kg;Kg;FE0150;FE
EQUATHION PRO 200GMS;Kg;FU0133;FU
ABONO YARABELA NITROMAG 45 KG;Kg;FE0154;FE
ABONO QUIMICO YARA MILA 12-24-12-2(MgO)-2(S) YARA 45 Kg;Kg;FE0208;FE
ZORVEC ENCANTIA 33 SE 200ml;Ltr;FU0733;FU
ENGORDONE 100 GRAMOS;Kg;FO0930;FO
AVAUNT 37.5 GRS;Kg;IN0095;IN
MOCAP  15%  15KG;Kg;IN0075;IN
FOLIVEX POLISACARIDOS 1.5KG;Kg;FO0034;FO
FORUM 15DC LT;Ltr;FU0346;FU
NITRATO CALCIO S.S. CALCINIT YARA 25 KGR;Kg;SA0052;SA
MAXI FRUTO 1 LITRO;Ltr;FO0970;FO
KALIUM 1KG;Kg;FO1468;FO
CONSENTO 45SC LT;Ltr;FU0311;FU
SALIX 1L;Ltr;IP0023;IP
ANTRACOL  70 WP 750 GRMS;Kg;FU0006;FU
ETHOPHIN 10SC LT;Ltr;FU0323;FU
FORTE 1 litro;Ltr;IN0511;IN
AGRY GENT PLUS 250GMS;Kg;FU0022;FU
MONCUT 50 WP 500 GRMS;Kg;FU0023;FU
VYDATE 24 SL 1LT;Ltr;IN0027;IN
PULSOR 24 SC 500ML;Ltr;FU0590;FU
CURZATE M 72 WP 500 GRMS;Kg;FU0013;FU
SUR DOLOMAG PLUS 50 Kg;Kg;FE0048;FE
REBELD 76WP KG;Kg;FU0622;FU
KASUMIN 1LT;Ltr;FU0041;FU
IPPON LT;Ltr;FU0162;FU
ALCAPLANT 5 KGR;Kg;FO0039;FO
NEMACUR 15G 15KGR;Kg;IN0340;IN
PROPLANT 72,2 SL 1LT;Ltr;FU0088;FU
ABONO YARAVERA AMIDAS UREA + S 40-0-0-0-5,7 (S) 45 Kg;Kg;FE0190;FE
EVISECT 200GMS;Kg;IN0047;IN
PREVALOR 84SL LT;Ltr;FU0312;FU
AVAUNT 30 WG 250 Grm;Kg;IN0058;IN
AFACOOP 50 WP 500 GRMS;Kg;HE0001;HE
SURFACID LT;Ltr;AD0016;AD
RANMAN 40SC 100ML;Ltr;FU0363;FU
KADOSTIN 1LT;Ltr;FO0048;FO
AK-42   1 LITRO;Ltr;IN0326;IN
ABONO 10-20-20 QUIMICO YARA 45 Kg;Kg;FE0112;FE
CURACRON 50 EC  1 LITRO;Ltr;IN0337;IN
EXALT - SOLARIS 6 SC 500 Cc;Ltr;IN0022;IN
VERANGO (SC 500) LITRO;Ltr;IN0469;IN
